token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10650,PRABHAT-EQ,PRABHAT,,-1,1,,NSE,5
3048,SCI-EQ,SCI,,-1,1,,NSE,5
2442,NOCIL-EQ,NOCIL,,-1,1,,NSE,5
2463,MIDHANI-EQ,MIDHANI,,-1,1,,NSE,5
21195,GTPL-EQ,GTPL,,-1,1,,NSE,5
16745,RBL-EQ,RBL,,-1,1,,NSE,5
18365,PERSISTENT-EQ,PERSISTENT,,-1,1,,NSE,5
317,BAJFINANCE-EQ,BAJFINANCE,,-1,1,,NSE,5
6711,IVC-EQ,IVC,,-1,1,,NSE,5
2256,PENINLAND-EQ,PENINLAND,,-1,1,,NSE,5
20419,ANDHRACEMT-EQ,ANDHRACEMT,,-1,1,,NSE,5
14299,PFC-EQ,PFC,,-1,1,,NSE,5
3375,SURYAROSNI-EQ,SURYAROSNI,,-1,1,,NSE,5
15204,ARIES-EQ,ARIES,,-1,1,,NSE,5
13880,BANCOINDIA-EQ,BANCOINDIA,,-1,1,,NSE,5
16807,LOTUSEYE-EQ,LOTUSEYE,,-1,1,,NSE,5
11369,TTKHLTCARE-EQ,TTKHLTCARE,,-1,1,,NSE,5
48,HAPPSTMNDS-EQ,HAPPSTMNDS,,-1,1,,NSE,5
16751,RANEENGINE-EQ,RANEENGINE,,-1,1,,NSE,5
1826,KAMATHOTEL-EQ,KAMATHOTEL,,-1,1,,NSE,5
11596,LINCOLN-EQ,LINCOLN,,-1,1,,NSE,5
2188,GENCON-EQ,GENCON,,-1,1,,NSE,5
3744,FINEORG-EQ,FINEORG,,-1,1,,NSE,5
27037,TBZ-EQ,TBZ,,-1,1,,NSE,5
4378,ICICISENSX-EQ,ICICISENSX,,-1,1,,NSE,1
13187,RCOM-EQ,RCOM,,-1,1,,NSE,5
17029,RUCHI-EQ,RUCHI,,-1,1,,NSE,5
13816,DAAWAT-EQ,DAAWAT,,-1,1,,NSE,5
13536,VIDHIING-EQ,VIDHIING,,-1,1,,NSE,5
6543,GRPLTD-EQ,GRPLTD,,-1,1,,NSE,5
10588,SHREEPUSHK-EQ,SHREEPUSHK,,-1,1,,NSE,5
11647,KOTARISUG-EQ,KOTARISUG,,-1,1,,NSE,5
12034,BASML-EQ,BASML,,-1,1,,NSE,5
14208,TV18BRDCST-EQ,TV18BRDCST,,-1,1,,NSE,5
17263,ARMANFIN-EQ,ARMANFIN,,-1,1,,NSE,5
11677,INDOCO-EQ,INDOCO,,-1,1,,NSE,5
17514,SETCO-EQ,SETCO,,-1,1,,NSE,5
438,BHEL-EQ,BHEL,,-1,1,,NSE,5
14853,OMAXE-EQ,OMAXE,,-1,1,,NSE,5
11359,DHANBANK-EQ,DHANBANK,,-1,1,,NSE,5
1023,FEDERALBNK-EQ,FEDERALBNK,,-1,1,,NSE,5
11532,ULTRACEMCO-EQ,ULTRACEMCO,,-1,1,,NSE,5
14245,TVSSRICHAK-EQ,TVSSRICHAK,,-1,1,,NSE,5
14922,PURVA-EQ,PURVA,,-1,1,,NSE,5
11961,REVATHI-EQ,REVATHI,,-1,1,,NSE,5
15254,CEATLTD-EQ,CEATLTD,,-1,1,,NSE,5
24999,YAARII-EQ,YAARII,,-1,1,,NSE,5
7508,ZENTEC-EQ,ZENTEC,,-1,1,,NSE,5
17475,ICICINV20-EQ,ICICINV20,,-1,1,,NSE,1
14627,HILTON-EQ,HILTON,,-1,1,,NSE,5
14947,MOTILALOFS-EQ,MOTILALOFS,,-1,1,,NSE,5
13251,SAKUMA-EQ,SAKUMA,,-1,1,,NSE,5
13342,VAKRANGEE-EQ,VAKRANGEE,,-1,1,,NSE,5
2475,ONGC-EQ,ONGC,,-1,1,,NSE,5
13998,SITINET-EQ,SITINET,,-1,1,,NSE,5
15219,PATINTLOG-EQ,PATINTLOG,,-1,1,,NSE,5
2649,PHILIPCARB-EQ,PHILIPCARB,,-1,1,,NSE,5
4176,ZENITHEXPO-EQ,ZENITHEXPO,,-1,1,,NSE,5
7463,MANAKSTEEL-EQ,MANAKSTEEL,,-1,1,,NSE,5
8833,BCG-EQ,BCG,,-1,1,,NSE,5
14750,MEGH-EQ,MEGH,,-1,1,,NSE,5
14101,PTL-EQ,PTL,,-1,1,,NSE,5
21427,THEINVEST-EQ,THEINVEST,,-1,1,,NSE,5
9921,ALANKIT-EQ,ALANKIT,,-1,1,,NSE,5
10755,APTECHT-EQ,APTECHT,,-1,1,,NSE,5
