token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1597,INGERRAND-EQ,INGERRAND,,-1,1,,NSE,5
2268,MOTOGENFIN-EQ,MOTOGENFIN,,-1,1,,NSE,5
10464,ARVSMART-BL,ARVSMART,,-1,1,,NSE,5
1480,REPL-EQ,REPL,,-1,1,,NSE,5
18451,SGBMAR28X-GB,SGBMAR28X,,-1,1,,NSE,1
17903,ABBOTINDIA-EQ,ABBOTINDIA,,-1,1,,NSE,5
1804,AWHCL-BL,AWHCL,,-1,1,,NSE,5
18310,DHFL-NF,DHFL,,-1,1,,NSE,1
12122,NSIL-BL,NSIL,,-1,1,,NSE,5
17881,DBCORP-EQ,DBCORP,,-1,1,,NSE,5
31966,NHBTF2014-N2,NHBTF2014,,-1,1,,NSE,1
11841,KENNAMET-EQ,KENNAMET,,-1,1,,NSE,5
17862,EHFLNCD-N4,EHFLNCD,,-1,1,,NSE,1
2176,AKG-EQ,AKG,,-1,1,,NSE,5
11084,LIBAS-BL,LIBAS,,-1,1,,NSE,5
8958,TTML-BE,TTML,,-1,1,,NSE,5
18795,SGBSEP24-GB,SGBSEP24,,-1,1,,NSE,1
19073,AARVI-EQ,AARVI,,-1,1,,NSE,5
12978,NPBET-EQ,NPBET,,-1,1,,NSE,1
2324,SMCGLOBAL-BL,SMCGLOBAL,,-1,1,,NSE,5
11927,NECLIFE-EQ,NECLIFE,,-1,1,,NSE,5
27098,SWANENERGY-BL,SWANENERGY,,-1,1,,NSE,5
21342,STEELXIND-BL,STEELXIND,,-1,1,,NSE,5
13750,FLUOROCHEM-EQ,FLUOROCHEM,,-1,1,,NSE,5
13925,NFL-EQ,NFL,,-1,1,,NSE,5
14897,CENTRALBK-BL,CENTRALBK,,-1,1,,NSE,5
15237,AMBIKCO-BL,AMBIKCO,,-1,1,,NSE,5
15214,DVL-EQ,DVL,,-1,1,,NSE,5
18984,IIFL-N2,IIFL,,-1,1,,NSE,1
19510,SREIBNPNCD-NK,SREIBNPNCD,,-1,1,,NSE,1
15124,KOLTEPATIL-EQ,KOLTEPATIL,,-1,1,,NSE,5
22423,TOTAL-EQ,TOTAL,,-1,1,,NSE,5
3359,DHFL-NT,DHFL,,-1,1,,NSE,1
31240,HUDCO-N2,HUDCO,,-1,1,,NSE,1
1879,ACRYSIL-EQ,ACRYSIL,,-1,1,,NSE,5
4422,INDIANCARD-EQ,INDIANCARD,,-1,1,,NSE,5
30111,ABFRL-BL,ABFRL,,-1,1,,NSE,5
18032,MBLINFRA-BL,MBLINFRA,,-1,1,,NSE,5
13421,EMKAY-EQ,EMKAY,,-1,1,,NSE,5
17189,SHRIPISTON-BL,SHRIPISTON,,-1,1,,NSE,5
12228,AUTOAXLES-BL,AUTOAXLES,,-1,1,,NSE,5
11151,SHRENIK-BL,SHRENIK,,-1,1,,NSE,5
12497,ITI-BL,ITI,,-1,1,,NSE,5
11460,JPASSOCIAT-EQ,JPASSOCIAT,,-1,1,,NSE,5
13496,PFOCUS-EQ,PFOCUS,,-1,1,,NSE,5
1424,HINDZINC-EQ,HINDZINC,,-1,1,,NSE,5
17950,MELSTAR-BZ,MELSTAR,,-1,1,,NSE,5
17755,SHILPAMED-BL,SHILPAMED,,-1,1,,NSE,5
18029,MBLINFRA-EQ,MBLINFRA,,-1,1,,NSE,5
15234,AMBIKCO-EQ,AMBIKCO,,-1,1,,NSE,5
1782,KANPRPLA-EQ,KANPRPLA,,-1,1,,NSE,5
20227,CEBBCO-BL,CEBBCO,,-1,1,,NSE,5
22433,HBANKETF-EQ,HBANKETF,,-1,1,,NSE,1
18562,MITTAL-EQ,MITTAL,,-1,1,,NSE,5
366,ROML-BE,ROML,,-1,1,,NSE,5
13525,NECCLTD-BL,NECCLTD,,-1,1,,NSE,5
17477,CONTROLPR-EQ,CONTROLPR,,-1,1,,NSE,5
4848,SNOWMAN-BL,SNOWMAN,,-1,1,,NSE,5
28955,DUCON-BL,DUCON,,-1,1,,NSE,5
21533,SREIBNPNCD-NU,SREIBNPNCD,,-1,1,,NSE,1
18504,TVVISION-EQ,TVVISION,,-1,1,,NSE,5
22428,MAXIND-EQ,MAXIND,,-1,1,,NSE,5
913,EQUITASBNK-EQ,EQUITASBNK,,-1,1,,NSE,5
25756,VIKASECO-EQ,VIKASECO,,-1,1,,NSE,5
4177,TCNSBRANDS-BL,TCNSBRANDS,,-1,1,,NSE,5
6916,VISHNU-BL,VISHNU,,-1,1,,NSE,5
17773,GROBTEA-BL,GROBTEA,,-1,1,,NSE,5
12385,GEOJITFSL-BL,GEOJITFSL,,-1,1,,NSE,5
20028,PFC-N8,PFC,,-1,1,,NSE,1
5610,ASTRAZEN-EQ,ASTRAZEN,,-1,1,,NSE,5
29733,NIBL-EQ,NIBL,,-1,1,,NSE,5
2289,HLEGLAS-EQ,HLEGLAS,,-1,1,,NSE,5
9436,AXISCADES-EQ,AXISCADES,,-1,1,,NSE,5
17601,ASALCBR-BL,ASALCBR,,-1,1,,NSE,5
13309,CENTURYPLY-BL,CENTURYPLY,,-1,1,,NSE,5
13190,RCOM-BL,RCOM,,-1,1,,NSE,5
21122,KICL-BL,KICL,,-1,1,,NSE,5
497,SGBNOV258-GB,SGBNOV258,,-1,1,,NSE,1
4105,SILINV-EQ,SILINV,,-1,1,,NSE,5
10814,IDFCFIRSTB-N9,IDFCFIRSTB,,-1,1,,NSE,1
18866,MAZDA-EQ,MAZDA,,-1,1,,NSE,5
12446,HINDPETRO-BL,HINDPETRO,,-1,1,,NSE,5
3496,TIRUMALCHM-EQ,TIRUMALCHM,,-1,1,,NSE,5
12403,FMGOETZE-BL,FMGOETZE,,-1,1,,NSE,5
1391,IREDA-N5,IREDA,,-1,1,,NSE,1
12316,CGPOWER-BL,CGPOWER,,-1,1,,NSE,5
554,UTIAMC-BL,UTIAMC,,-1,1,,NSE,5
1565,RVHL-EQ,RVHL,,-1,1,,NSE,5
2171,RAJMET-BE,RAJMET,,-1,1,,NSE,5
16478,VCL-SM,VCL,,-1,6000,,NSE,5
5528,KOTHARIPRO-EQ,KOTHARIPRO,,-1,1,,NSE,5
1448,HLVLTD-EQ,HLVLTD,,-1,1,,NSE,5
6947,GANECOS-BL,GANECOS,,-1,1,,NSE,5
220,IEX-EQ,IEX,,-1,1,,NSE,5
12940,CUBEXTUB-BL,CUBEXTUB,,-1,1,,NSE,5
21961,INDTERRAIN-BE,INDTERRAIN,,-1,1,,NSE,5
17685,GPTINFRA-EQ,GPTINFRA,,-1,1,,NSE,5
21749,CAPACITE-EQ,CAPACITE,,-1,1,,NSE,5
528,SRTRANSFIN-YJ,SRTRANSFIN,,-1,1,,NSE,1
22377,MAXHEALTH-EQ,MAXHEALTH,,-1,1,,NSE,5
20236,LAXMICOT-SM,LAXMICOT,,-1,6000,,NSE,5
18784,IDFNIFTYET-BL,IDFNIFTYET,,-1,1,,NSE,1
1511,ASTERDM-BL,ASTERDM,,-1,1,,NSE,5
3761,RITES-EQ,RITES,,-1,1,,NSE,5
10447,MCDOWELL-N-EQ,MCDOWELL-N,,-1,1,,NSE,5
13676,ANSALHSG-BL,ANSALHSG,,-1,1,,NSE,5
1143,NCPSESDL24-EQ,NCPSESDL24,,-1,1,,NSE,1
13893,HIRECT-BL,HIRECT,,-1,1,,NSE,5
12717,RICOAUTO-BL,RICOAUTO,,-1,1,,NSE,5
14466,KIRLFER-EQ,KIRLFER,,-1,1,,NSE,5
371,BATAINDIA-EQ,BATAINDIA,,-1,1,,NSE,5
13400,BHAGERIA-EQ,BHAGERIA,,-1,1,,NSE,5
17830,SREIBNPNCD-Y8,SREIBNPNCD,,-1,1,,NSE,1
13598,SELAN-EQ,SELAN,,-1,1,,NSE,5
1576,GILLETTE-EQ,GILLETTE,,-1,1,,NSE,5
17966,NESTLEIND-BL,NESTLEIND,,-1,1,,NSE,5
11593,HDFCSENETF-EQ,HDFCSENETF,,-1,1,,NSE,1
